website,logo,favicon
www.pingdom.com,https://www.pingdom.com/wp-content/uploads/2020/11/trust-radius-logo-e1587675445509-cr-fs8.png,https://www.pingdom.com/wp-content/uploads/2020/12/favicon_small-150x150.png
index.html?_escaped_fragment_=%2fnewhome,,favicon.ico
www.webcrawler.com,,/static/www.webcrawler.com/favicon-32x32.png
one-call-now,https://www.onsolve.com/wp-content/uploads/2020/05/onsolve-logo_460x76.png,https://www.onsolve.com/wp-content/themes/onsolve/images/favicon.png
winegard.com,https://winegard.com/images/winegard-logo.png,
stackexchange.com,,https://cdn.sstatic.net/sites/stackexchange/img/favicon.ico
en-us,,https://www.westuc.com/files/favicon_7.ico
www.stumbleupon.com,images/stumble_logo.svg,images/favicon.ico
neilpatel.com,,https://neilpatel.com/favicon.ico
www.newhaven.edu:443,https://www.newhaven.edu/_resources/images/centennial/cropped-centennial_logo_2c_wht_outline-2.png,https://www.newhaven.edu/_resources/images/favicons/favicon.png
www.livehelpnow.net,,/favicon.ico
mophie,,https://www.zagg.com/media/favicon/default/zagg_favicon_200px_707070_01_7su_icon.ico
ting.com,,https://static.ting.com/static/node/dist/20210212/src/assets/images/apple-touch-icon-180x180.png
app,,https://tinyurl.com/images/icons/favicon-16.png
godish.com,https://godish.com/wp-content/uploads/dish-logo-red-1.png,
case-mate.com,,//cdn.shopify.com/s/files/1/0347/8496/8840/files/cm_favicon_32x32.png?v=1595263887
www.myfax.eu,/sf-images/librariesprovider7/pagespeedimages/myfax-logo.png,
shopping.com,,/images/favicon.ico
www.spigen.com,https://cdn.shopify.com/s/files/1/0808/0067/files/spigen_logo.png?v=1526104779,//cdn.shopify.com/s/files/1/0808/0067/files/favicon-spigen_32x32.png?v=1562969867
www.cellularoutfitter.com,//cdn.shopify.com/s/files/1/2012/3181/t/443/assets/logo.png?v=12362731155711992168,//cdn.shopify.com/s/files/1/2012/3181/files/co_favicon_84d7e170-271e-4029-9579-383e6f343ed4_32x32.png?v=1595008463
en_xp.html?geo=redirect,,/etc/designs/msi/favicon.ico
www.info.com,,/static/info/skun300/favicon-32x32.png
www.today.com,,https://nodeassets.nbcnews.com/cdnassets/projects/ramen/favicon/today/all-other-sizes-png.ico/favicon.ico
www.consolidated.com,/portals/0/skins/cci/img/logo.svg,/portals/0/favicon.ico?ver=2015-09-24-151258-000
griffintechnology.com,//cdn.shopify.com/s/files/1/0053/5114/5572/t/11/assets/new-incipio-logo-white.png?v=4786585396498762320,//cdn.shopify.com/s/files/1/0053/5114/5572/t/11/assets/favicon.png?v=4107236961972650596
cloud,,//1.www.s81c.com/common/fonts/icons-ibm-v12.woff
www.trumpia.com,https://rs.trumpia.com/images/common/logo.png,https://rs.trumpia.com/images/favicon32.png
www.3dissue.com,https://static.3dissue.com/images/logos/logo.png,https://static.3dissue.com/apple-touch-icon-57x57.png
www.justhost.com,/static/img/logo-justhost.png,/favicon.ico
www.inap.com,https://www.inap.com/inap/wp-content/themes/inap/assets/images/global/inap-logo-white.svg,https://www.inap.com/inap/wp-content/themes/inap/assets/images/global/favicon.png
index.html,https://ak.staticimgfarm.com/images/webtooltab/assets/logos/mywaydefault.png,https://ak.staticimgfarm.com/images/vicinio/chrome/spent/images/favicon/mywaydefault.ico
www.acquia.com,/themes/custom/juice/logo.svg,/core/misc/favicon.ico
www.viglink.com,http://2hs1ga4co2vozkshf4prujwp.wpengine.netdna-cdn.com/wp-content/uploads/2019/03/logo-sovrn-formerly-viglink.white_.440.o-e1599668144622.png,http://2hs1ga4co2vozkshf4prujwp.wpengine.netdna-cdn.com/wp-content/uploads/2019/03/favicon.png
www.sakura.ne.jp,/resource/images/header_logo_bgwhite.png,https://www.sakura.ad.jp/resource/favicon/sakura_logo.png
www.inbox.com,,../server/img/favicon-16x16.png
meraki.cisco.com,https://meraki.cisco.com/wp-content/uploads/2020/04/cisco-meraki-logo.png,https://meraki.cisco.com/wp-includes/css/dashicons.min.css?ver=5.4.2
bd,/images/application_wide/general/logo/freeconferencecall-logo.svg,/fcc_favicon.ico
mxtoolbox.com,,/public/favicon/manifest.webmanifest
text,misc/images/logo_170313.png,
www.l3harris.com,/themes/custom/l3harris/components/images/logo-footer.svg,/themes/custom/l3harris/favicon.ico
www.brandbucket.com,,/favicon.ico
www.incredimail.com,,
www.dogpile.com,,/static/info.dogpile.com/favicon-32x32.png
taxna.wolterskluwer.com,https://taxna.wolterskluwer.com/static/version1597871890/frontend/ey/wolterskluwer/en_us/images/sf/logo-min.png,https://taxna.wolterskluwer.com/static/version1597871890/frontend/ey/wolterskluwer/en_us/css/icomoon.css
www.ubreakifix.com:443,https://d1zmiyu61cpipt.cloudfront.net/assets/images/ubif_logo_dark.svg,https://www.ubreakifix.com/apple-touch-icon.png
www.bluetooth.com,https://www.bluetooth.com/wp-content/themes/bluetooth/images/logos/bluetooth-logo-color-black.svg,https://www.bluetooth.com/favicon/apple-touch-icon.png
flippa.com,https://d1zazrti94enmy.cloudfront.net/assets/logo-flippa-c6713c797bb3d8cdcc0aa40b4e3888d7f4253696db55f0cdf1d6fd07bff9dee4.svg,https://d1zazrti94enmy.cloudfront.net/assets/favicon-f44f578dc293f493148a3b1278f515207385eab242b1b488670661b95bd80b0c.ico
www.alchemer.com,https://1utysa49sprc1qb8aw184c71-wpengine.netdna-ssl.com/wp-content/themes/alchemer/public/media/svg/logo-gold-with-tag-footer.svg,https://1utysa49sprc1qb8aw184c71-wpengine.netdna-ssl.com/wp-content/themes/alchemer/public/media/favicon/apple-touch-icon.png
index.html,,favicon.ico
www.ucoz.com,,/favicon1.ico
www.zimbra.com,https://www.zimbra.com/wp-content/uploads/2016/06/zimbra-logo-color-282.png,https://www.zimbra.com/wp-content/uploads/2019/05/zimbra_favicon.png
us,,//fileadmin_git/resources/public/images/favicon.ico
index.jhtml,,
www.cartoys.com,https://www.cartoys.com/media/brands/a/l/alpine-logo.jpg,https://www.cartoys.com/static/frontend/smartwave/porto_child_bopis/en_us/icon-fonts/css/porto-icons-codes.min.css
www.lingo.com,//www.lingo.com/wp-content/uploads/2018/05/lingo-logo.png,https://www.lingo.com/wp-content/themes/jevelin/css/simple-line-icons.css?ver=1.0.0
www.phone.com,https://3macae71618368hq3ytkqe1c-wpengine.netdna-ssl.com/wp-content/uploads/2019/02/phonecom_logo_optimized.png,https://3macae71618368hq3ytkqe1c-wpengine.netdna-ssl.com/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min-510ba326d18bf982bc26be8812fefb31.css
